"","trip_id","trip_start","trip_end","individual"
"1","1104834",2014-02-22 00:01:00,2014-02-24 23:59:00,1
"2","1104835",2014-02-27 00:01:00,2014-03-01 23:59:00,1
"3","1104836",2014-03-10 00:01:00,2014-03-12 23:59:00,1
"4","1104837",2014-04-01 00:01:00,2014-04-02 23:59:00,1
"5","1104838",2014-04-08 00:01:00,2014-04-10 23:59:00,1
"6","1104839",2014-04-15 00:01:00,2014-04-16 23:59:00,1
"7","1104840",2014-04-29 00:01:00,2014-05-01 23:59:00,1
"8","1104841",2014-05-06 00:01:00,2014-05-08 23:59:00,1
"9","1104842",2014-05-13 00:01:00,2014-05-15 23:59:00,1
"10","1104843",2014-05-19 00:01:00,2014-05-23 23:59:00,1
"11","1104844",2014-06-07 00:01:00,2014-06-09 23:59:00,1
"12","1104845",2014-06-14 00:01:00,2014-06-16 23:59:00,1
"13","1104846",2014-06-21 00:01:00,2014-06-23 23:59:00,1
"14","1104847",2014-06-28 00:01:00,2014-06-30 23:59:00,1
"15","1104848",2014-07-06 00:01:00,2014-07-07 23:59:00,1
"16","1104849",2014-07-12 00:01:00,2014-07-14 23:59:00,1
"17","1104850",2014-07-19 00:01:00,2014-07-21 23:59:00,1
"18","1104851",2014-07-26 00:01:00,2014-07-27 23:59:00,1
"19","1104852",2014-08-14 00:01:00,2014-08-17 23:59:00,1
"20","1104853",2014-08-23 00:01:00,2014-08-24 23:59:00,1
"21","1104854",2014-08-31 00:01:00,2014-09-02 23:59:00,1
"22","1104855",2014-09-07 00:01:00,2014-09-09 23:59:00,1
"23","1104856",2014-09-14 00:01:00,2014-09-16 23:59:00,1
"24","1104857",2014-09-27 00:01:00,2014-09-29 23:59:00,1
"25","1104858",2014-10-30 00:01:00,2014-11-01 23:59:00,1
"26","1104859",2014-11-08 00:01:00,2014-11-10 23:59:00,1
"27","1104860",2014-11-30 00:01:00,2014-12-02 23:59:00,1
"28","1104861",2014-01-18 00:01:00,2014-01-21 23:59:00,2
"29","1104862",2014-01-24 00:01:00,2014-01-25 23:59:00,2
"30","1104863",2014-02-23 00:01:00,2014-02-25 23:59:00,2
"31","1104864",2014-03-09 00:01:00,2014-03-11 23:59:00,2
"32","1104865",2014-03-15 00:01:00,2014-03-17 23:59:00,2
"33","1104866",2014-02-02 00:01:00,2014-02-06 23:59:00,3
"34","1104867",2014-02-07 00:01:00,2014-02-11 23:59:00,3
"35","1104868",2014-02-14 00:01:00,2014-02-15 23:59:00,3
"36","1104869",2014-02-21 00:01:00,2014-02-25 23:59:00,3
"37","1104870",2014-03-17 00:01:00,2014-03-21 23:59:00,3
"38","1104871",2014-03-24 00:01:00,2014-03-27 23:59:00,3
"39","1104872",2014-03-31 00:01:00,2014-04-03 23:59:00,3
"40","1104873",2014-04-07 00:01:00,2014-04-11 23:59:00,3
"41","1104874",2014-04-14 00:01:00,2014-04-18 23:59:00,3
"42","1104875",2014-04-22 00:01:00,2014-04-24 23:59:00,3
"43","1104876",2014-04-28 00:01:00,2014-05-02 23:59:00,3
"44","1104877",2014-05-05 00:01:00,2014-05-09 23:59:00,3
"45","1104878",2014-05-13 00:01:00,2014-05-17 23:59:00,3
"46","1104879",2014-06-15 00:01:00,2014-06-17 23:59:00,3
"47","1104880",2014-06-18 00:01:00,2014-06-19 23:59:00,3
"48","1104881",2014-06-20 00:01:00,2014-06-22 23:59:00,3
"49","1104882",2014-06-22 00:01:00,2014-06-23 23:59:00,3
"50","1104883",2014-06-24 00:01:00,2014-06-26 23:59:00,3
"51","1104884",2014-06-26 00:01:00,2014-06-28 23:59:00,3
"52","1104885",2014-06-28 00:01:00,2014-06-30 23:59:00,3
"53","1104886",2014-06-30 00:01:00,2014-07-01 23:59:00,3
"54","1104887",2014-07-02 00:01:00,2014-07-03 23:59:00,3
"55","1104888",2014-07-04 00:01:00,2014-07-05 23:59:00,3
"56","1104889",2014-07-05 00:01:00,2014-07-06 23:59:00,3
"57","1104890",2014-07-06 00:01:00,2014-07-07 23:59:00,3
"58","1104891",2014-07-09 00:01:00,2014-07-10 23:59:00,3
"59","1104892",2014-07-10 00:01:00,2014-07-11 23:59:00,3
"60","1104893",2014-07-12 00:01:00,2014-07-14 23:59:00,3
"61","1104894",2014-07-15 00:01:00,2014-07-15 23:59:00,3
"62","1104895",2014-07-16 00:01:00,2014-07-18 23:59:00,3
"63","1104896",2014-07-18 00:01:00,2014-07-19 23:59:00,3
"64","1104897",2014-07-20 00:01:00,2014-07-21 23:59:00,3
"65","1104898",2014-07-22 00:01:00,2014-07-22 23:59:00,3
"66","1104899",2014-07-23 00:01:00,2014-07-24 23:59:00,3
"67","1104900",2014-07-25 00:01:00,2014-07-25 23:59:00,3
"68","1104901",2014-07-26 00:01:00,2014-07-26 23:59:00,3
"69","1107782",2014-08-15 00:01:00,2014-08-17 23:59:00,4
"70","1107783",2014-08-17 00:01:00,2014-08-18 23:59:00,4
"71","1107784",2014-08-18 00:01:00,2014-08-20 23:59:00,4
"72","1107785",2014-08-20 00:01:00,2014-08-21 23:59:00,4
"73","1107786",2014-08-21 00:01:00,2014-08-23 23:59:00,4
"74","1107787",2014-08-23 00:01:00,2014-08-25 23:59:00,4
"75","1107788",2014-08-25 00:01:00,2014-08-27 23:59:00,4
"76","1107789",2014-08-27 00:01:00,2014-08-29 23:59:00,4
"77","1107790",2014-08-29 00:01:00,2014-08-31 23:59:00,4
"78","1107791",2014-08-31 00:01:00,2014-09-02 23:59:00,4
"79","1107792",2014-09-04 00:01:00,2014-09-05 23:59:00,4
"80","1107793",2014-09-06 00:01:00,2014-09-07 23:59:00,4
"81","1107794",2014-09-29 00:01:00,2014-10-01 23:59:00,4
"82","1107795",2014-10-02 00:01:00,2014-10-03 23:59:00,4
"83","1107796",2014-10-02 00:01:00,2014-10-03 23:59:00,5
"84","1107797",2014-09-11 00:01:00,2014-09-13 23:59:00,6
"85","1107798",2014-02-21 00:01:00,2014-02-26 23:59:00,7
"86","1107799",2014-03-13 00:01:00,2014-03-16 23:59:00,7
"87","1107800",2014-03-19 00:01:00,2014-03-24 23:59:00,7
"88","1107801",2014-03-31 00:01:00,2014-04-04 23:59:00,7
"89","1107802",2014-04-11 00:01:00,2014-04-17 23:59:00,7
"90","1107803",2014-04-29 00:01:00,2014-05-04 23:59:00,7
"91","1107804",2014-06-17 00:01:00,2014-06-22 23:59:00,7
"92","1107805",2014-06-23 00:01:00,2014-06-27 23:59:00,7
"93","1107806",2014-06-28 00:01:00,2014-07-02 23:59:00,7
"94","1107807",2014-07-05 00:01:00,2014-07-10 23:59:00,7
"95","1107808",2014-07-11 00:01:00,2014-07-18 23:59:00,7
"96","1107809",2014-07-19 00:01:00,2014-07-24 23:59:00,7
"97","1107810",2014-07-27 00:01:00,2014-08-01 23:59:00,7
"98","1107811",2014-08-09 00:01:00,2014-08-15 23:59:00,7
"99","1107812",2014-08-19 00:01:00,2014-08-22 23:59:00,7
"100","1107813",2014-08-24 00:01:00,2014-08-29 23:59:00,7
"101","1107814",2014-09-03 00:01:00,2014-09-07 23:59:00,7
"102","1107815",2014-09-09 00:01:00,2014-09-14 23:59:00,7
"103","1107816",2014-09-15 00:01:00,2014-09-19 23:59:00,7
"104","1107817",2014-09-22 00:01:00,2014-09-24 23:59:00,7
"105","1107818",2014-10-29 00:01:00,2014-11-02 22:59:00,7
"106","1107819",2014-11-07 00:01:00,2014-11-12 23:59:00,7
"107","1107820",2014-11-17 00:01:00,2014-11-20 23:59:00,7
"108","1107821",2014-09-29 00:01:00,2014-10-02 23:59:00,8
"109","1107822",2014-10-04 00:01:00,2014-10-08 23:59:00,8
"110","1107823",2014-10-13 00:01:00,2014-10-15 23:59:00,8
"111","1107824",2014-11-09 00:01:00,2014-11-12 23:59:00,8
"112","1107825",2014-11-15 00:01:00,2014-11-16 23:59:00,8
"113","1107826",2014-01-03 00:01:00,2014-01-07 23:59:00,9
"114","1107827",2014-01-14 00:01:00,2014-01-19 23:59:00,9
"115","1107828",2014-01-21 00:01:00,2014-01-27 23:59:00,9
"116","1107829",2014-01-28 00:01:00,2014-02-02 23:59:00,9
"117","1107830",2014-02-05 00:01:00,2014-02-09 23:59:00,9
"118","1107831",2014-02-20 00:01:00,2014-02-24 23:59:00,9
"119","1107832",2014-03-05 00:01:00,2014-03-08 23:59:00,9
"120","1107833",2014-03-13 00:01:00,2014-03-15 23:59:00,9
"121","1107834",2014-03-26 00:01:00,2014-03-29 23:59:00,9
"122","1107835",2014-06-15 00:01:00,2014-06-16 23:59:00,9
"123","1107836",2014-10-02 00:01:00,2014-10-04 23:59:00,9
"124","1107837",2014-06-23 00:01:00,2014-06-25 23:59:00,10
"125","1107838",2014-06-26 00:01:00,2014-06-27 23:59:00,10
"126","1107839",2014-06-27 00:01:00,2014-06-28 23:59:00,10
"127","1107840",2014-06-29 00:01:00,2014-06-30 23:59:00,10
"128","1107841",2014-07-07 00:01:00,2014-07-10 23:59:00,10
"129","1107842",2014-07-11 00:01:00,2014-07-15 23:59:00,10
"130","1107843",2014-07-16 00:01:00,2014-07-18 23:59:00,10
